index,station_complex_id,number_of_riderships,lower_bound,upper_bound
2024-08-07,611.0,142782.0,,
2024-08-08,611.0,140559.0,,
2024-08-09,611.0,118148.0,,
2024-08-10,611.0,103889.0,,
2024-08-11,611.0,89563.0,,
2024-08-12,611.0,124182.0,,
2024-08-13,611.0,139553.0,,
2024-08-14,611.0,143171.0,,
2024-08-15,611.0,140520.0,,
2024-08-16,611.0,123441.0,,
2024-08-17,611.0,102214.0,,
2024-08-18,611.0,79657.0,,
2024-08-19,611.0,119930.0,,
2024-08-20,611.0,139065.0,,
2024-08-21,611.0,139726.0,,
2024-08-22,611.0,135879.0,,
2024-08-23,611.0,122461.0,,
2024-08-24,611.0,101118.0,,
2024-08-25,611.0,83823.0,,
2024-08-26,611.0,120995.0,,
2024-08-27,611.0,139287.0,,
2024-08-28,611.0,138394.0,,
2024-08-29,611.0,133661.0,,
2024-08-30,611.0,119868.0,,
2024-08-31,611.0,92904.0,,
2024-09-01,611.0,80649.0,,
2024-09-02,611.0,73586.0,,
2024-09-03,611.0,127820.0,,
2024-09-04,611.0,135900.0,,
2024-09-05,611.0,134490.0,,
2024-09-06,611.0,120801.0,,
2024-09-07,611.0,88080.0,,
2024-09-08,611.0,74946.0,,
2024-09-09,611.0,120058.0,,
2024-09-10,611.0,131194.0,,
2024-09-11,611.0,139304.0,,
2024-09-12,611.0,138169.0,,
2024-09-13,611.0,121105.0,,
2024-09-14,611.0,89915.0,,
2024-09-15,611.0,81119.0,,
2024-09-16,611.0,120243.0,,
2024-09-17,611.0,136795.0,,
2024-09-18,611.0,139032.0,,
2024-09-19,611.0,137649.0,,
2024-09-20,611.0,109083.0,,
2024-09-21,611.0,92259.0,,
2024-09-22,611.0,76311.0,,
2024-09-23,611.0,115328.0,,
2024-09-24,611.0,133546.0,,
2024-09-25,611.0,134975.0,,
2024-09-26,611.0,131679.0,,
2024-09-27,611.0,115742.0,,
2024-09-28,611.0,66643.0,,
2024-09-29,611.0,55236.0,,
2024-09-30,611.0,60655.0,,
2024-10-01,,101882.12709389531,93193.89097351594,110570.36321427468
2024-10-02,,108752.24505192645,99027.82531536538,118476.66478848753
2024-10-03,,106015.94945777822,95670.0815703141,116361.81734524234
2024-10-04,,90155.73777333568,79274.90879923201,101036.56674743936
2024-10-05,,62006.61659934104,50625.153781527355,73388.07941715472
2024-10-06,,45147.36966986601,33288.09116540727,57006.64817432476
2024-10-07,,77254.0624982763,64935.80557024709,89572.3194263055
2024-10-08,,102094.92181653029,88994.95574202859,115194.88789103199
2024-10-09,,105867.64619803913,92200.23576899224,119535.05662708603
2024-10-10,,102494.55734446392,88311.69487977831,116677.41980914952
2024-10-11,,86508.7016533595,71833.87813547299,101183.52517124602
2024-10-12,,59914.667825227734,44764.858905925474,75064.47674453
2024-10-13,,42639.1601741307,27029.002404400104,58249.3179438613
2024-10-14,,76758.30928036664,60701.03072240563,92815.58783832764
2024-10-15,,100362.7487543956,83734.78378926065,116990.71371953054
2024-10-16,,103901.75959723252,86789.47812410288,121014.04107036216
2024-10-17,,100480.62199801143,82909.58736315518,118051.65663286767
2024-10-18,,84485.28596086093,66469.46523774987,102501.10668397199
2024-10-19,,58008.572908739734,39559.117515825856,76458.02830165361
2024-10-20,,40701.66109450406,21828.614996919412,59574.70719208871
2024-10-21,,74972.63668115615,55685.31609390159,94259.95726841071
2024-10-22,,98483.79646950107,78680.95829000039,118286.63464900176
2024-10-23,,102005.17517424203,81754.77540012122,122255.57494836285
2024-10-24,,98580.41261549844,77902.18113710948,119258.6440938874
2024-10-25,,82584.361349049,61488.86600413795,103679.85669396004
2024-10-26,,56116.499372020044,34612.19326494064,77620.80547909945
2024-10-27,,38807.21832178249,16901.799654163584,60712.636989401406
2024-10-28,,73089.64821026617,50790.343887262876,95388.95253326946
2024-10-29,,96593.77066446711,73808.14400309663,119379.39732583759
2024-10-30,,100113.81914123244,76901.73568453813,123325.90259792675
2024-10-31,,96688.78310331456,73067.08538575459,120310.48082087454
